First Image Number,First Object Number,Second Image Number,Second Object Number,Center_X_First,Center_Y_First,Center_X_Second,Center_Y_Second,Distance,Speed_per_Hour,Acceleration
2,1,3,1,245.46938775510205,8.034013605442176,252.4129353233831,8.701492537313433,6.975555960457464,6.975555960457464,
3,1,4,2,252.4129353233831,8.701492537313433,252.61864406779665,9.66101694915254,0.9813272565476747,0.9813272565476747,-5.994228703909789
4,1,5,4,816.9323671497584,7.922705314009661,811.136690647482,14.215827338129497,8.555305425845447,8.555305425845447,7.573978169297772
9,1,10,10,714.343949044586,11.678343949044589,714.4761904761905,30.6957671957672,19.01788302470121,19.01788302470121,10.462577598855763
10,1,11,1,497.35087719298247,14.959899749373433,501.07142857142856,19.90740740740741,6.190342041112262,6.190342041112262,-12.827540983588946
11,1,12,3,501.07142857142856,19.90740740740741,496.5943396226415,23.57232704402516,5.785841459823948,5.785841459823948,-0.404500581288314
12,1,13,3,762.4031413612565,17.698952879581153,784.1231231231232,18.40840840840841,21.731565403421868,21.731565403421868,15.945723943597919
13,1,14,2,717.2395209580839,15.04191616766467,720.3916666666667,11.208333333333334,4.963101844191473,4.963101844191473,-16.768463559230394
15,1,16,2,727.5657370517928,19.366533864541832,727.0815217391304,19.29891304347826,0.4889141483512796,0.4889141483512796,-4.474187695840193
16,1,17,1,356.7506493506493,12.9012987012987,346.991452991453,10.457264957264956,10.060577245830697,10.060577245830697,9.571663097479417
18,1,19,2,25.746666666666663,9.393333333333333,23.133079847908743,16.718631178707223,7.777584752519545,7.777584752519545,-2.282992493311151
24,1,25,2,229.5068965517241,24.96896551724138,227.2198581560284,41.822695035461,17.00819635636577,17.00819635636577,9.230611603846224
25,1,26,1,782.0169491525423,41.26271186440678,775.7906976744187,38.06511627906977,6.999344611905042,6.999344611905042,-10.008851744460728
26,1,27,1,775.7906976744187,38.06511627906977,785.0598290598291,29.66239316239316,12.51089734653484,12.51089734653484,5.511552734629798
27,1,28,5,785.0598290598291,29.66239316239316,794.5286885245902,21.2827868852459,12.644251694877042,12.644251694877042,0.13335434834220194
32,1,33,1,274.83882783882785,8.761904761904763,279.18023255813955,9.55232558139535,4.412772372188038,4.412772372188038,-8.231479322689005
33,1,34,2,279.18023255813955,9.55232558139535,278.9596774193548,10.75,1.2178130325400285,1.2178130325400285,-3.1949593396480096
35,1,36,1,727.9473684210526,13.2,727.8641975308642,13.246913580246911,0.09548969047134921,0.09548969047134921,-1.1223233420686793
40,1,41,4,183.63005780346825,11.815028901734104,182.55263157894737,21.661654135338345,9.905396294966552,9.905396294966552,9.809906604495202
