First Image Number,First Object Number,Second Image Number,Second Object Number,Center_X_First,Center_Y_First,Center_X_Second,Center_Y_Second,Distance,Speed_per_Hour,Acceleration
4,1,5,12,1019.3116883116884,15.07792207792208,1011.722807017544,33.449122807017545,19.876924699895902,19.876924699895902,
7,1,8,3,754.5914634146342,12.990853658536585,746.8164893617021,19.888297872340427,10.393505578307204,10.393505578307204,-9.483419121588698
12,1,13,2,1035.545081967213,11.778688524590164,1028.3715710723193,19.625935162094763,10.631958349663838,10.631958349663838,0.23845277135663423
15,1,16,4,1032.326732673267,28.92079207920792,1027.8014184397164,39.42553191489362,11.43800804020607,11.43800804020607,0.8060496905422312
17,1,18,1,1132.4772727272727,6.227272727272728,1131.8333333333333,9.763157894736842,3.594042551300678,3.594042551300678,-7.843965488905392
19,1,20,1,270.3121212121212,15.166666666666666,268.8480392156863,11.980392156862743,3.506548351885522,3.506548351885522,-0.0874941994151559
22,1,23,3,280.94166666666666,10.158333333333331,285.431906614786,22.377431906614785,13.018011550742129,13.018011550742129,9.511463198856607
23,1,24,1,1138.8169934640523,16.186274509803923,1133.6466666666668,14.42,5.463698823667546,5.463698823667546,-7.554312727074583
24,1,25,1,1133.6466666666668,14.42,1130.741935483871,10.919354838709678,4.548843786015469,4.548843786015469,-0.9148550376520763
26,1,27,8,290.20071684587816,20.57706093189964,305.87972508591065,29.371134020618555,17.97684680027999,17.97684680027999,13.42800301426452
28,1,29,3,548.1235431235431,13.885780885780886,542.0646258503401,15.850340136054422,6.369456144079525,6.369456144079525,-11.607390656200465
30,1,31,3,1111.07,13.52,1109.5625,13.450892857142858,1.5090831810055023,1.5090831810055023,-4.860372963074022
31,1,32,6,985.15,10.26,989.39375,20.928125,11.481215313638398,11.481215313638398,9.972132132632895
32,1,33,2,1110.052132701422,12.625592417061611,1112.0044642857142,12.196428571428571,1.9989447769820745,1.9989447769820745,-9.482270536656323
38,1,39,1,665.3229166666666,7.765625,672.9526627218935,13.236686390532544,9.388585495495354,9.388585495495354,7.389640718513279
46,1,47,2,512.6724137931035,20.314655172413797,518.0135501355013,19.872628726287264,5.359395936778508,5.359395936778508,-4.029189558716846
47,1,48,2,42.02222222222223,17.666666666666668,50.06622516556291,18.228476821192054,8.063598080398188,8.063598080398188,2.70420214361968
48,1,49,6,511.3413897280967,16.084592145015105,525.2212389380531,30.256637168141594,19.836760678816805,19.836760678816805,11.773162598418617
50,1,51,1,531.96,24.065882352941177,536.0840108401084,20.994579945799455,5.1420194365098935,5.1420194365098935,-14.694741242306911
