Object_number,treatment,Feature,MAE,RMSE,MAPE,P-Value,is_good_forecast,unique_id,Treatment_Alias
1,1,AreaShape_Area,10.15843124,13.52616601,3.376044023,1.09E-08,TRUE,CELL_LINE_1_Cell_1,CELL_LINE_1
2,1,AreaShape_Area,11.27597656,16.16619371,2.768926019,7.00E-11,TRUE,CELL_LINE_1_Cell_2,CELL_LINE_1
3,1,AreaShape_Area,6.015718079,7.406529221,1.857786709,1.01E-10,TRUE,CELL_LINE_1_Cell_3,CELL_LINE_1
4,1,AreaShape_Area,12.11773987,16.51107589,4.670545613,1.28E-10,TRUE,CELL_LINE_1_Cell_4,CELL_LINE_1
5,1,AreaShape_Area,18.05511017,22.41970511,10.68081051,5.97E-10,TRUE,CELL_LINE_1_Cell_5,CELL_LINE_1
6,1,AreaShape_Area,13.34196167,15.27598132,7.352970803,2.09E-10,TRUE,CELL_LINE_1_Cell_6,CELL_LINE_1
7,1,AreaShape_Area,17.82201843,22.07969352,9.562637796,2.56E-09,TRUE,CELL_LINE_1_Cell_7,CELL_LINE_1
8,1,AreaShape_Area,16.5562088,18.12417362,7.361925439,1.06E-12,TRUE,CELL_LINE_1_Cell_8,CELL_LINE_1
9,1,AreaShape_Area,9.779194641,14.95242857,7.357495337,3.49E-09,TRUE,CELL_LINE_1_Cell_9,CELL_LINE_1
10,1,AreaShape_Area,11.07803345,14.4115724,7.372887102,4.45E-09,TRUE,CELL_LINE_1_Cell_10,CELL_LINE_1
11,1,AreaShape_Area,6.813752747,10.006526,4.089048158,4.19E-11,TRUE,CELL_LINE_1_Cell_11,CELL_LINE_1
12,1,AreaShape_Area,9.858753967,11.90926427,3.846930921,1.05E-10,TRUE,CELL_LINE_1_Cell_12,CELL_LINE_1
13,1,AreaShape_Area,21.60512085,39.57643236,4.884403919,5.63E-10,TRUE,CELL_LINE_1_Cell_13,CELL_LINE_1
14,1,AreaShape_Area,23.91727142,45.53657753,5.936952386,4.36E-10,TRUE,CELL_LINE_1_Cell_14,CELL_LINE_1
15,1,AreaShape_Area,17.65623932,28.76381689,3.626106597,4.29E-11,TRUE,CELL_LINE_1_Cell_15,CELL_LINE_1
16,1,AreaShape_Area,20.85258636,30.23592506,3.77454434,3.81E-11,TRUE,CELL_LINE_1_Cell_16,CELL_LINE_1
17,1,AreaShape_Area,36.15732574,57.20552748,6.841173431,1.96E-11,TRUE,CELL_LINE_1_Cell_17,CELL_LINE_1
18,1,AreaShape_Area,32.59560776,45.52471928,5.510002444,4.12E-10,TRUE,CELL_LINE_1_Cell_18,CELL_LINE_1
19,1,AreaShape_Area,13.40097961,18.42627038,3.288904209,2.53E-09,TRUE,CELL_LINE_1_Cell_19,CELL_LINE_1
20,1,AreaShape_Area,26.35581665,38.10287271,7.002502757,2.59E-10,TRUE,CELL_LINE_1_Cell_20,CELL_LINE_1
21,1,AreaShape_Area,3.793177032,5.039358605,3.193603542,1.51E-10,TRUE,CELL_LINE_1_Cell_21,CELL_LINE_1
22,1,AreaShape_Area,12.1486763,31.29894203,2.692215669,1.96E-11,TRUE,CELL_LINE_1_Cell_22,CELL_LINE_1
23,1,AreaShape_Area,12.16881332,14.51085526,4.528278536,2.09E-11,TRUE,CELL_LINE_1_Cell_23,CELL_LINE_1
24,1,AreaShape_Area,25.88016663,41.55407725,6.142704291,1.34E-11,TRUE,CELL_LINE_1_Cell_24,CELL_LINE_1
25,1,AreaShape_Area,11.30338898,12.79646588,5.603449462,5.11E-11,TRUE,CELL_LINE_1_Cell_25,CELL_LINE_1
26,1,AreaShape_Area,21.08000488,29.96724869,10.12454878,1.16E-11,TRUE,CELL_LINE_1_Cell_26,CELL_LINE_1
27,1,AreaShape_Area,22.37846375,27.95603299,5.736388536,2.77E-08,TRUE,CELL_LINE_1_Cell_27,CELL_LINE_1
28,1,AreaShape_Area,6.723498535,9.500089356,2.556434851,3.23E-11,TRUE,CELL_LINE_1_Cell_28,CELL_LINE_1
29,1,AreaShape_Area,35.30852356,59.96807194,5.653209534,1.52E-12,TRUE,CELL_LINE_1_Cell_29,CELL_LINE_1
30,1,AreaShape_Area,10.49264145,13.2966313,3.881222391,2.13E-11,TRUE,CELL_LINE_1_Cell_30,CELL_LINE_1
31,1,AreaShape_Area,20.12099304,26.33666708,15.43275299,1.59E-09,TRUE,CELL_LINE_1_Cell_31,CELL_LINE_1
32,1,AreaShape_Area,11.84892883,17.08154662,4.27739835,1.93E-10,TRUE,CELL_LINE_1_Cell_32,CELL_LINE_1
33,1,AreaShape_Area,13.79255219,15.41193794,5.953469456,1.46E-10,TRUE,CELL_LINE_1_Cell_33,CELL_LINE_1
34,1,AreaShape_Area,14.46351929,21.94291997,3.331748927,2.00E-11,TRUE,CELL_LINE_1_Cell_34,CELL_LINE_1
35,1,AreaShape_Area,9.618669128,15.47821706,3.032143922,1.32E-11,TRUE,CELL_LINE_1_Cell_35,CELL_LINE_1
36,1,AreaShape_Area,9.01648407,11.10935029,5.479414701,9.15E-10,TRUE,CELL_LINE_1_Cell_36,CELL_LINE_1
37,1,AreaShape_Area,13.25770264,18.8871612,9.40500552,2.03E-09,TRUE,CELL_LINE_1_Cell_37,CELL_LINE_1
38,1,AreaShape_Area,8.388093567,9.845472102,4.274891338,7.89E-11,TRUE,CELL_LINE_1_Cell_38,CELL_LINE_1
39,1,AreaShape_Area,13.1375679,15.76054871,5.292451954,1.38E-11,TRUE,CELL_LINE_1_Cell_39,CELL_LINE_1
40,1,AreaShape_Area,16.11331635,18.49665715,8.979012401,4.74E-10,TRUE,CELL_LINE_1_Cell_40,CELL_LINE_1
41,1,AreaShape_Area,8.669825745,10.71838029,3.360436217,2.44E-09,TRUE,CELL_LINE_1_Cell_41,CELL_LINE_1
42,1,AreaShape_Area,26.95355225,30.44082515,15.37321268,2.72E-10,TRUE,CELL_LINE_1_Cell_42,CELL_LINE_1
43,1,AreaShape_Area,12.46893768,15.61295411,6.066226298,2.62E-09,TRUE,CELL_LINE_1_Cell_43,CELL_LINE_1
44,1,AreaShape_Area,10.16546173,13.93896932,6.269827341,1.59E-10,TRUE,CELL_LINE_1_Cell_44,CELL_LINE_1
45,1,AreaShape_Area,13.73487854,15.56883908,5.864233326,1.35E-09,TRUE,CELL_LINE_1_Cell_45,CELL_LINE_1
46,1,AreaShape_Area,10.63174591,12.3089514,3.357056088,1.27E-11,TRUE,CELL_LINE_1_Cell_46,CELL_LINE_1
47,1,AreaShape_Area,8.760836792,11.48058016,2.668372902,1.10E-09,TRUE,CELL_LINE_1_Cell_47,CELL_LINE_1
48,1,AreaShape_Area,12.84503937,15.49247274,4.794385001,3.96E-10,TRUE,CELL_LINE_1_Cell_48,CELL_LINE_1
49,1,AreaShape_Area,20.0559433,27.57027426,13.06546095,5.74E-11,TRUE,CELL_LINE_1_Cell_49,CELL_LINE_1
50,1,AreaShape_Area,14.54679108,16.84466869,6.000601574,1.12E-10,TRUE,CELL_LINE_1_Cell_50,CELL_LINE_1
51,1,AreaShape_Area,33.19677124,45.79567638,29.22938123,2.66E-10,TRUE,CELL_LINE_1_Cell_51,CELL_LINE_1
52,1,AreaShape_Area,15.5287735,20.85374814,3.540048693,7.98E-13,TRUE,CELL_LINE_1_Cell_52,CELL_LINE_1
53,1,AreaShape_Area,12.38977966,16.16642502,4.072353397,1.80E-10,TRUE,CELL_LINE_1_Cell_53,CELL_LINE_1
54,1,AreaShape_Area,7.482122803,8.116297968,3.111978289,7.74E-13,TRUE,CELL_LINE_1_Cell_54,CELL_LINE_1
55,1,AreaShape_Area,16.67971802,22.28678666,14.31598967,4.45E-11,TRUE,CELL_LINE_1_Cell_55,CELL_LINE_1
56,1,AreaShape_Area,16.40411224,22.64616731,13.06905472,3.71E-10,TRUE,CELL_LINE_1_Cell_56,CELL_LINE_1
